"Laufende
Nummer";"Regional-
schlьssel";"Gemeinde-
schlьsselnr.";"Vgem-
schlьssel";Bezeichnung;Spalte001;Spalte002;Spalte003;Spalte004;Spalte005;Spalte006;Spalte007;Spalte008;Spalte009;Spalte010;Spalte011;Spalte012;Spalte013;Spalte014;Spalte015;Spalte016;Spalte017;Spalte018;Spalte019;Spalte020;Spalte021;Spalte022;Spalte023;Spalte024;Spalte025;Spalte026;Spalte027;Spalte028;Spalte029;Spalte030;Spalte031;Spalte032;Spalte033;Spalte034;Spalte035;Spalte036;Spalte037;Spalte038;Spalte039;Spalte040;Spalte041;Spalte042;Spalte043;Spalte044;Spalte045;Spalte046;Spalte047;Spalte048;Spalte049;Spalte050;Spalte051;Spalte052;Spalte053;Spalte054;Spalte055;Spalte056;Spalte057;Spalte058;Spalte059;Spalte060;Spalte061;Spalte062;Spalte063;Spalte064;Spalte065;Spalte066;Spalte067;Spalte068;Spalte069;Spalte070;Spalte071;Spalte072;Spalte073;Spalte074;Spalte075;Spalte076;Spalte077;Spalte078;Spalte079;Spalte080;Spalte081;Spalte082;Spalte083;Spalte084;Spalte085;Spalte086;Spalte087;Spalte088;Spalte089;Spalte090;Spalte091;Spalte092;Spalte093;Spalte094;Spalte095;Spalte096;Spalte097;Spalte098;Spalte099;Spalte100;Spalte101;Spalte102;Spalte103;Spalte104;Spalte105;Spalte106;Spalte107;Spalte108;Spalte109;Spalte110;Spalte111;Spalte112;Spalte113;Spalte114;Spalte115;Spalte116;Spalte117;Spalte118;Spalte119;Spalte120;Spalte121;Spalte122;Spalte123;Spalte124;Spalte125;Spalte126;Spalte127;Spalte128;Spalte129;Spalte130;Spalte131;Spalte132;Spalte133;Spalte134;Spalte135;Spalte136;Spalte137;Spalte138;Spalte139;Spalte140;Spalte141;Spalte142;Spalte143;Spalte144;Spalte145
2090;9778196;196;;Sontheim;26,5217;71,9;8,39;5,37;103,92;90,47;1634,04;719,6;30,26;21,29;234,16;2080;2545;2699;1375;29,75961538;6,05108055;78,43137255;101,7722474;192;240;92;251;175;673;617;459;25;37;12;13;24;120;194;101;113;81;138;109;86;1;89;6;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;264;166;98;36;4;168;21;Х;Х;187;70,83333333;1141;1064;93,25153374;-877;0;8;14;23;6;0;51;51;3503;1729;10;Х;21;13;2;Х;Х;2569;99,3;2391;92,5;2391;92,45939675;195;142,5;1;Х;11;12;15;13;1;1;28;Ц;15;13;871;1129;33;259;837;6643;Ц;Ц;Ц;4;2;2;4;0;0;0;0;3;4;6;1282;45874,758;35783,74259;6984,811;5448,370515;1289;503,515625;39022;30273,07991;2044,708;40,014;200,036;442,711;1356,029;325;309,9987602;300,0005305;765,5215275;374,6372145;836,3549232;232,5855485;258,4960718
2091;9778199;199;766;Stetten;15,6972;45,74;22,39;3,47;84,72;80,21;739,2;620,2;4,05;10,23;178,89;1092;1347;1416;709;29,67032967;5,122494432;69,55414013;90,1910828;82;130;62;120;82;355;333;252;15;18;14;8;10;77;83;85;71;12;67;51;35;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;374;278;96;16;Х;305;50;8;Х;304;81,28342246;622;552;88,74598071;-248;3;3;4;6;5;0;21;18;1324;Х;Х;Ц;14;10;3;225;8747;1391;99;1318;93,8;1318;93,80782918;35;117,9;3;32;3;3;7;5;2;Ц;9;1;3;5;457;575;17;101;457;3412;Ц;Ц;Ц;7;5;2;7;0;0;0;0;Ц;3;7;679;30323,301;44658,76436;5485,68;8079,057437;723;512,7659574;22236;30755,18672;1638,13;18,538;141,212;642,711;831,754;329,9750801;329,996261;280,0002742;1167,590877;910,8781183;1379,504633;Ц;62,36440678
2092;9778202;202;765;Trunkelsberg;1,9442;32,92;8,88;6,53;24,06;24,06;66,74;44,92;Ц;1,99;79,2;1400;1708;1700;832;21,42857143;-0,468384075;721,6494845;876,2886598;96;139;51;131;64;395;388;436;22;8;9;23;-15;135;118;127;105;13;65;61;44;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;58;24;34;14;Х;11;Ц;Х;Х;39;67,24137931;671;652;97,16840537;-613;1;0;3;1;0;0;5;4;Х;Х;Ц;Ц;13;10;Ц;Ц;Ц;1687;100;1687;100;1687;100;Ц;103,7;2;Х;2;2;Ц;Ц;Ц;Ц;Ц;Ц;-1;1;617;792;24;221;547;4150;Х;Х;Х;7;4;3;5;0;0;0;0;Х;Х;Х;837;31154,129;37221,1816;5012,644;5988,821983;924;545,7767277;27420;29675,32468;1272,972;3,425;134,876;128,4;1003,546;320,0934579;329,9960853;330,0031689;750,5731132;201,1132075;776,4310142;322,6320755;349,673031
2093;9778203;203;764;Tьrkheim, M;31,5648;143,12;118,47;71,91;175,89;163,7;1759,19;572,78;66,1;52,31;569,09;5236;6648;7208;3655;37,66233766;8,423586041;165,8536585;228,3903676;406;564;215;608;422;1827;1622;1544;61;63;105;115;-52;633;547;479;396;151;342;304;207;2;534;39;Ц;Ц;Ц;1;671;53;Ц;Ц;2768;1663;1105;402;Х;1278;735;242;Х;1977;71,4234104;2912;2123;72,90521978;-146;4;6;14;13;9;0;46;42;1780;804;5;863;98;64;7;810;32809;7037;99,7;6869;97,3;6869;97,34977324;420;142,1;17;308;18;35;34;31;1;2;41;1;14;26;2052;3202;195;1116;1891;16175;Х;Х;Х;43;37;6;54;1;26;26;24;15;29;42;3669;133574,102;36406,13301;22182,161;6045,832925;3851;559,2506535;107142;27821,86445;7205,119;39,857;739,058;2408,098;3998,658;299,9924733;299,9995941;279,9998995;1004,057832;763,3230212;1190,020067;135,4671126;Ц
2094;9778204;204;;Tussenhausen, M;41,7548;78,84;44,59;11,03;161,47;160,61;2181,99;1485,63;21,77;48,53;361,19;2360;2959;3020;1580;27,96610169;2,061507266;56,52694611;72,33532934;167;246;107;258;209;769;748;516;23;33;14;24;9;247;263;245;237;26;122;93;69;1;105;6;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;683;473;210;56;Х;Х;82;32;50;511;74,81698389;1340;1169;87,23880597;-658;3;11;14;12;10;1;51;48;2548;1259;Х;911;27;18;2;Х;Х;2943;99,2;2861;96,4;2861;96,39487871;1;142;5;28;5;9;19;19;Ц;Ц;20;-1;8;13;989;1281;31;287;963;7409;Ц;Ц;Ц;10;10;Ц;12;0;0;0;0;Ц;7;4;1522;59737,553;39249,37779;10200,947;6702,330486;1586;537,6271186;46591;29376,41866;7005,568;55,616;224,839;5111,7;1607,833;359,9974108;340,0006049;320,000044;2322,031157;2916,667882;2735,326152;Ц;Ц
2095;9778205;205;765;Ungerhausen;7,0224;27,6;10,85;2,22;87,61;32,87;480,81;39,44;5,56;21,49;144,32;954;1005;1122;572;17,61006289;11,64179104;135,8974359;159,8290598;95;97;32;82;59;304;236;217;18;22;10;13;9;66;66;55;51;15;79;64;39;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;360;212;148;72;Ц;194;125;Х;Х;337;93,61111111;468;445;95,08547009;-108;2;0;7;2;3;1;15;13;716;363;Х;Ц;5;16;1;Х;Х;1074;100;1063;99;1063;98,97579143;58;122,1;Ц;Ц;1;2;3;3;Ц;Ц;2;Ц;Ц;2;359;491;13;126;352;2728;Ц;Ц;Ц;7;5;2;5;0;0;0;0;Ц;5;Х;537;20185,041;37588,53073;3080,849;5737,148976;558;528,4090909;17096;30637,99283;1486,485;11,922;128,771;696,497;647,519;350,02936;349,997282;300,0003302;1331,975806;1154,229391;1544,398746;172,9318996;52,53164557
2096;9778207;207;766;Unteregg;23,6915;32,11;7,06;5,12;65,98;65,98;1733,85;428,33;4,28;12,66;164,63;1218;1375;1385;706;13,71100164;0,727272727;51,41409878;58,4634867;69;108;52;120;91;330;361;254;9;14;16;13;1;61;104;72;63;41;50;40;34;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;136;77;59;15;3;Х;40;12;Х;91;66,91176471;549;504;91,80327869;-413;2;6;15;21;8;0;52;50;3339;1795;Х;Х;11;6;1;Х;Х;1351;99,8;1232;91;1232;90,98966027;33;141,6;3;12;8;11;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;467;600;24;118;458;3634;Х;Х;Х;2;2;Ц;2;0;0;0;0;Х;3;9;691;23405,952;33872,57887;3309,985;4790,137482;667;494,4403262;17892;26824,58771;1016,24;40,731;82,579;251,544;637,186;399,9901797;399,9951562;329,9989172;746,6862601;339,193975;768,2725937;307,8765614;336,3083573
2097;9778209;209;764;Rammingen;19,2636;41,35;21,7;10,36;90,49;80,67;1330,55;327,33;11,04;37,72;194,96;1164;1432;1542;809;32,4742268;7,681564246;60,43613707;80,0623053;94;135;50;142;68;418;355;280;21;12;9;12;0;153;151;140;160;-9;87;77;49;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;310;203;107;83;Х;134;19;24;Х;222;71,61290323;666;578;86,78678679;-356;0;6;12;7;5;3;33;33;2034;Х;Х;Ц;16;7;1;Х;Х;1560;99,2;1542;98;1542;98,02924348;348;141,9;4;31;2;3;8;7;1;Ц;14;2;Ц;12;496;650;18;134;498;3733;Ц;Ц;Ц;5;4;1;4;0;0;0;0;Ц;4;6;778;28569,539;36721,77249;4483,327;5762,631105;803;527,248851;22503;28023,66127;1670,422;25,596;122,081;707,524;802,611;300;299,9975426;259,9996015;1058,569075;833,2370089;1294,060837;320,2205323;207,3086109
2098;9778214;214;762;Westerheim;21,1585;60,53;23,64;9,46;111,94;103,78;1345,28;448,04;18,47;30,69;243,5;1679;2092;2186;1141;30,19654556;4,493307839;79,34782609;103,3081285;141;231;80;180;126;587;478;363;21;20;17;20;0;87;130;127;91;39;113;90;68;1;104;7;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;255;150;105;30;Х;128;69;Х;Х;191;74,90196078;976;912;93,44262295;-721;5;0;10;17;6;0;38;33;2431;Х;Х;73;22;27;Ц;Ц;Ц;2169;99,7;2142;98,5;2142;98,48275862;205;142,3;5;58;9;17;8;8;Ц;Ц;10;Ц;6;4;688;913;41;186;686;5283;Х;Х;Х;21;11;10;14;0;0;0;0;Ц;6;6;1086;42930,01;39530,39595;7220,318;6648,543278;1145;533,0540037;33763;29487,33624;1778,907;33,918;199,757;386,627;1152,917;355,0136069;330,0023128;320,0005225;819,3952096;388,357439;871,8157531;228,2763703;190,079638
2099;9778216;216;764;Wiedergeltingen;11,6102;33,89;23,73;4,7;67,65;60,32;794,64;158,64;24,23;22,31;152,96;1021;1390;1410;712;38,09990206;1,438848921;87,9414298;121,4470284;80;98;63;135;80;340;362;252;15;17;11;9;8;91;98;86;73;25;89;74;40;1;98;5;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;371;271;100;56;Х;260;49;25;Х;288;77,62803235;604;521;86,25827815;-233;0;4;7;2;2;3;18;18;505;177;Ц;Ц;27;21;3;180;5692;1342;97,5;1332;96,8;1332;96,80232558;157;142,5;6;39;Ц;Ц;6;5;1;Ц;7;Ц;2;5;443;577;21;123;433;3220;Ц;Ц;Ц;11;10;1;17;0;0;0;0;Х;3;4;700;26906,646;38438,06571;4295,946;6137,065714;748;544,3959243;21752;29080,2139;1546,322;13,197;119,167;561,753;847,963;310,0070472;309,9997399;310,0005101;1113,262779;699,5262779;1233,149748;237,9352052;Ц
2100;9778217;217;758;Winterrieden;9,7939;24,91;4,73;2,59;42,12;42,12;688,28;164,71;4,58;18,49;96,92;706;894;937;503;32,71954674;4,8098434;72,11440245;95,70990807;51;72;39;92;63;225;245;150;8;7;7;7;0;66;53;59;51;2;39;38;25;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;Ц;101;67;34;14;Х;Х;17;Х;Х;65;64,35643564;443;406;91,64785553;-341;1;0;8;13;3;0;25;24;2020;Х;Х;Х;9;3;1;Х;Х;918;99,2;917;99,1;917;99,13513514;56;142,9;2;Х;3;4;7;5;2;Ц;9;1;1;7;310;383;19;52;312;2351;Х;Х;Х;4;3;1;3;0;0;0;0;Ц;Ц;Х;448;15304,322;34161,43304;2145,226;4788,450893;482;535,5555556;13628;28273,85892;725,211;12,11;58,892;169,828;483,301;350;330,0011207;310;764,9905063;362,6835443;822,6371308;311,6160338;308,3717001
